year,st_fips,abbrev,name,race_eth,race_cat,opioid_type,opioid_cat,obs_rate,deaths,pop,model_rate
1999,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,1156898,0.1
2000,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,1162877,0.09
2001,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,1169299,0.09
2002,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,1173950,0.08
2003,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,1181015,0.08
2004,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,1189488,0.07
2005,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,1200444,0.07
2006,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,1219303,0.07
2007,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,1231942,0.06
2008,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,1246295,0.06
2009,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,1257451,0.09
2010,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,1267093,0.15000000000000002
2011,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,1273606,0.23
2012,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,1282940,0.37
2013,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,1292236,0.59
2014,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,1.1906103538658428,15,1299143,0.9400000000000001
2015,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,1.420804438238597,19,1306404,1.5
2016,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,1.3852533108377134,17,1311414,1.51
2017,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,1.6799383393261837,20,1316062,1.52
2018,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,1.5020897198088934,20,1320461,1.53
2019,01,AL,Alabama,nhb,Non-Hispanic Black,heroin,Heroin,1.5048915362492346,20,1324613,1.54
1999,04,AZ,Arizona,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,159387,0.45
2000,04,AZ,Arizona,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,165607,0.5
2001,04,AZ,Arizona,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,172878,0.55
2002,04,AZ,Arizona,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,180671,0.61
2003,04,AZ,Arizona,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,188114,0.6799999999999999
2004,04,AZ,Arizona,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,198399,0.76
2005,04,AZ,Arizona,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,211439,0.8400000000000001
