year,st_fips,abbrev,name,race_eth,race_cat,opioid_type,opioid_cat,obs_rate,deaths,pop,model_rate
1999,01,AL,Alabama,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,1156898,0.09
2000,01,AL,Alabama,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,1162877,0.09
2001,01,AL,Alabama,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,1169299,0.09
2002,01,AL,Alabama,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,1173950,0.09
2003,01,AL,Alabama,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,1181015,0.09
2004,01,AL,Alabama,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,1189488,0.08
2005,01,AL,Alabama,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,1200444,0.08
2006,01,AL,Alabama,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,1219303,0.08
2007,01,AL,Alabama,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,1231942,0.08
2008,01,AL,Alabama,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,1246295,0.08
2009,01,AL,Alabama,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,1257451,0.11
2010,01,AL,Alabama,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,1267093,0.16
2011,01,AL,Alabama,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,1273606,0.24000000000000002
2012,01,AL,Alabama,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,1282940,0.33999999999999997
2013,01,AL,Alabama,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,1292236,0.49
2014,01,AL,Alabama,nhb,Non-Hispanic Black,single_heroin,Heroin alone,0.91578932694634,11,1299143,0.71
2015,01,AL,Alabama,nhb,Non-Hispanic Black,single_heroin,Heroin alone,1.091335480593416,15,1306404,1.03
2016,01,AL,Alabama,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,1311414,0.9
