year,st_fips,abbrev,name,race_eth,race_cat,opioid_type,opioid_cat,obs_rate,deaths,pop,model_rate
1999,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,121663,0.07
2000,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,124050,0.1
2001,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,127077,0.14
2002,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,129170,0.2
2003,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,129910,0.28
2004,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,132446,0.4
2005,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,133719,0.58
2006,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,137343,0.8300000000000001
2007,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,140722,1.1900000000000002
2008,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,144510,1.71
2009,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,148549,1.6500000000000001
2010,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,151635,1.6
2011,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,154811,1.55
2012,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,159103,1.51
2013,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,163603,1.46
2014,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,168497,1.41
2015,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,173245,1.37
2016,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,177010,1.33
2017,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,179639,1.29
2018,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,183531,2.52
2019,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,186864,4.930000000000001
1999,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,223525,0.8500000000000001
2000,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,223078,0.88
2001,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,219789,0.91
2002,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,213962,0.9400000000000001
2003,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,209118,0.97
2004,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,204643,1
2005,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,200181,1.04
2006,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,198094,1.07
2007,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,196640,1.1
2008,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,196285,1.1400000000000001
2009,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,197106,1.1800000000000002
2010,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,196774,1.22
2011,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,196803,1.26
2012,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,196501,1.3
2013,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,195466,1.34
2014,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,194001,1.3900000000000001
2015,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,193140,1.43
2016,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,190875,1.48
2017,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,188450,1.53
2018,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,186368,1.58
2019,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,185058,1.6300000000000001
1999,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,162736,9.350000000000001
2000,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,163421,8.57
2001,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,163102,7.859999999999999
2002,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,163525,7.21
2003,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,8.502836371035643,13,163752,6.609999999999999
2004,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,163759,6.06
2005,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,6.996011487076495,11,163801,5.56
2006,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,164197,5.09
2007,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,164878,4.67
2008,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,166254,4.28
2009,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,167133,3.9299999999999997
2010,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,167837,4.6499999999999995
2011,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,168547,5.52
2012,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,6.699727647279012,11,169297,6.54
2013,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,8.008908925578966,13,170363,7.76
2014,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,170435,9.2
2015,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,12.989643623423682,23,170409,10.91
2016,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,16.225129045682348,26,170838,12.93
2017,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,16.157702876618202,25,169898,15.33
2018,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,15.126495220813426,25,170024,18.18
2019,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,heroin,Heroin,21.23203839957633,33,169831,21.55
1999,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,heroin,Heroin,NA,NA,424484,0.6
