year,st_fips,abbrev,name,race_eth,race_cat,opioid_type,opioid_cat,obs_rate,deaths,pop,model_rate
1999,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,121663,0.08
2000,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,124050,0.11
2001,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,127077,0.15000000000000002
2002,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,129170,0.2
2003,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,129910,0.28
2004,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,132446,0.38
2005,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,133719,0.53
2006,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,137343,0.73
2007,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,140722,1.01
2008,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,144510,1.3900000000000001
2009,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,148549,1.35
2010,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,151635,1.32
2011,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,154811,1.29
2012,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,159103,1.25
2013,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,163603,1.22
2014,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,168497,1.1900000000000002
2015,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,173245,1.1600000000000001
2016,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,177010,1.1300000000000001
2017,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,179639,1.11
2018,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,183531,1.97
2019,08001,Adams County (CO),Adams County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,186864,3.51
1999,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,223525,0.88
2000,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,223078,0.89
2001,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,219789,0.91
2002,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,213962,0.93
2003,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,209118,0.9500000000000001
2004,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,204643,0.96
2005,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,200181,0.98
2006,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,198094,1
2007,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,196640,1.02
2008,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,196285,1.04
2009,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,197106,1.06
2010,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,196774,1.08
2011,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,196803,1.1
2012,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,196501,1.12
2013,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,195466,1.1400000000000001
2014,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,194001,1.1600000000000001
2015,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,193140,1.1800000000000002
2016,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,190875,1.2
2017,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,188450,1.23
2018,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,186368,1.25
2019,06001,Alameda County (CA),Alameda County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,185058,1.27
1999,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,162736,5.72
2000,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,163421,5.63
2001,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,163102,5.54
2002,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,163525,5.46
2003,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,7.866755379359785,12,163752,5.37
2004,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,163759,5.29
2005,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,163801,5.21
2006,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,164197,5.13
2007,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,164878,5.05
2008,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,166254,4.970000000000001
2009,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,167133,4.89
2010,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,167837,4.819999999999999
2011,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,168547,4.74
2012,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,169297,4.67
2013,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,6.75367184599446,11,170363,4.6
2014,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,170435,4.53
2015,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,8.317822403673684,14,170409,4.46
2016,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,170838,4.39
2017,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,169898,4.319999999999999
2018,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,170024,4.25
2019,42003,Allegheny County (PA),Allegheny County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,169831,4.1899999999999995
1999,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,424484,0.48000000000000004
2000,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,421346,0.71
2001,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,417059,1.04
2002,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,414503,1.52
2003,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,412158,2.23
2004,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,3.6183962854249545,15,409893,3.2800000000000002
2005,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,3.62911466443415,15,408735,4.8
2006,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,6.940105350723147,26,407556,7.05
2007,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,6.943348665031366,26,405286,6.119999999999999
2008,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,4.778801666449178,18,403531,5.319999999999999
2009,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,5.5994342591103194,22,401094,4.619999999999999
2010,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,3.1867882199181525,12,399504,4.01
2011,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,3.4824296041250715,13,398643,3.48
2012,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,4.877129214869097,18,399003,4.34
2013,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,4.89312574886388,20,398563,5.41
2014,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,6.366476136562409,28,398806,6.74
2015,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,8.2830106283172,36,397000,8.4
2016,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,9.531764265695827,35,391862,10.47
2017,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,5.734897086224401,22,386773,3.8299999999999996
2018,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,380294,1.4
2019,24510,Baltimore city (MD),Baltimore city,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,373409,0.51
1999,24005,Baltimore County (MD),Baltimore County,nhb,Non-Hispanic Black,single_heroin,Heroin alone,NA,NA,147983,0.06
